"INSEE_COM","STATUT","POPULATION","TX_LOG_SEC","TYPO_LOG_SEC","POP_CHOM","POP_ACT","POP_OCC","TX_CHOM"
"31372","Commune simple",453,11.4265595978205,"moyenne",19.8846344393203,205.61551662132,185.730882182,9.67078495147894
"31373","Commune simple",174,16.6666666666667,"forte",9,73,64,12.3287671232877
"31374","Commune simple",962,2.49153585369903,"moyenne",17.4380664652568,478.57804632427,461.139979859013,3.64372469635628
"31375","Commune simple",3020,8.44817255841821,"moyenne",188,1319,1131,14.2532221379833
"31376","Commune simple",102,7.6537512928634,"moyenne",3.92307692307692,51,47.0769230769231,7.69230769230769
"31377","Commune simple",745,0.688779708203374,"faible",26.4306730923524,382.74019110906,356.309518016708,6.90564349036996
"31378","Commune simple",85,5.88235294117647,"moyenne",7,39,32,17.9487179487179
"31379","Commune simple",195,1.22854790703565,"faible",13.0670103092784,108.556701030928,95.4896907216497,12.037037037037
"31380","Commune simple",480,1.99570572967487,"moyenne",24.6406570841889,241.478439425051,216.837782340862,10.2040816326531
"31381","Commune simple",2323,0.937020627094048,"faible",85.1888801261829,1131.27168769716,1046.08280757098,7.53036437246964
"31382","Commune simple",104,8.28823696952435,"moyenne",3.85185185185185,52,48.1481481481481,7.40740740740741
"31383","Commune simple",1286,1.94146367296354,"moyenne",52.4897959183676,612.717425431714,560.227629513347,8.5667215815486
"31384","Commune simple",1447,1.66696934802436,"faible",43.1529187817259,762.062182741116,718.909263959391,5.66265060240964
"31385","Commune simple",210,21.5189873417722,"forte",12,73,61,16.4383561643836
"31386","Commune simple",212,10.181585708216,"moyenne",11.1047619047619,94.8952380952381,83.7904761904762,11.7021276595745
"31387","Commune simple",133,8.42854662994081,"moyenne",6.13846153846152,64.453846153846,58.3153846153844,9.52380952380952
"31388","Commune simple",389,4.29447852760736,"moyenne",16,201,185,7.96019900497512
"31389","Commune simple",4122,0.221265243372975,"faible",167.329959985345,2068.58540281226,1901.25544282692,8.08910087820683
"31390","Commune simple",2830,4.25097545991462,"moyenne",265.32570026291,1089.97804290824,824.652342645325,24.3422977177576
"31391","Commune simple",445,13.7972570591916,"moyenne",25,203,178,12.3152709359606
"31392","Commune simple",73,2.90691320787709,"moyenne",4.17142857142856,37.542857142857,33.3714285714285,11.1111111111111
"31393","Commune simple",171,5.27245479068841,"moyenne",3.07185628742514,79.8682634730536,76.7964071856285,3.84615384615385
"31394","Commune simple",144,39.3688456985332,"forte",7.41176470588232,61.4117647058821,53.9999999999998,12.0689655172414
"31395","Sous-préfecture",25207,1.00198254165042,"faible",1911.83071409053,11939.4712025962,10027.6404885057,16.0126916983962
"31396","Commune simple",3816,1.00930360014481,"faible",237.041473065797,2037.8560028297,1800.8145297639,11.6319049401257
"31397","Commune simple",64,7.30858468677492,"moyenne",3.04761904761906,23.3650793650795,20.3174603174604,13.0434782608696
"31398","Commune simple",80,21.8037234271607,"forte",1.72043010752688,30.9677419354839,29.247311827957,5.55555555555556
"31399","Commune simple",2899,1.89114995544842,"moyenne",170.022440950414,1439.40484991012,1269.38240895971,11.811995837101
"31400","Commune simple",79,5,"moyenne",3,37,34,8.10810810810811
"31401","Commune simple",404,4.45388429995651,"moyenne",17.3434343434343,227.50505050505,210.161616161616,7.62331838565022
"31402","Commune simple",855,0,"faible",26.7371516246113,433.858622933118,407.121471308507,6.1626415176109
"31403","Commune simple",718,1.53796482673267,"faible",32.6224903047782,381.201012758063,348.578522453284,8.55781837218852
"31404","Commune simple",88,54.4953430906672,"forte",1.87234042553191,41.1914893617021,39.3191489361702,4.54545454545455
"31405","Commune simple",104,50.0432742700492,"forte",6.72885861403812,44.2548785975043,37.5260199834662,15.2047838052765
"31406","Commune simple",804,9.47746952654747,"moyenne",54.7273501981857,376.131625723275,321.404275525089,14.5500528154071
"31407","Commune simple",1229,1.26050420168068,"faible",54.7671192426474,654.118080391535,599.350961148888,8.37266556060727
"31408","Commune simple",91,38.8059701492537,"forte",5,32,27,15.625
"31409","Commune simple",2151,1.1792735250326,"faible",91.5942051947276,1153.24701400974,1061.65280881501,7.94228851946145
"31410","Commune simple",4420,0.570551491681187,"faible",155.789825196396,2190.04542728011,2034.25560208371,7.11354309165527
"31411","Commune simple",863,0,"faible",25.4399092970521,399.210884353741,373.770975056689,6.37254901960784
"31412","Commune simple",295,15.3841946945511,"moyenne",13.4104446012703,121.781298517996,108.370853916726,11.0119080388099
"31413","Commune simple",517,4.23728813559322,"moyenne",30,275,245,10.9090909090909
"31414","Commune simple",82,11.675293523545,"moyenne",3.85882352941176,35.6941176470588,31.8352941176471,10.8108108108108
"31415","Commune simple",88,13.2033652976297,"moyenne",6.2857142857143,35.6190476190477,29.3333333333334,17.6470588235294
"31416","Commune simple",568,0.900900900900901,"faible",22,258,236,8.52713178294574
"31417","Commune simple",8379,0.673686385894194,"faible",326.808474789899,3970.25693755781,3643.44846276791,8.2314187703662
"31418","Commune simple",896,0.897072710103877,"faible",37.3812168024505,370.627442711905,333.246225909455,10.0859279412581
"31419","Commune simple",172,8.6261448792673,"moyenne",12.7045454545455,85.0227272727273,72.3181818181818,14.9425287356322
"31420","Commune simple",2767,0.754240585491117,"faible",126.205146727747,1285.36794220355,1159.1627954758,9.81860077445135
"31421","Commune simple",4384,0.697799248523886,"faible",263,2170,1907,12.1198156682028
"31422","Commune simple",99,15.2235965746908,"moyenne",1.98,41.58,39.6,4.76190476190476
"31423","Commune simple",306,2.86776883775445,"moyenne",21.1381578947368,161.052631578947,139.91447368421,13.125
"31424","Commune simple",18250,0.580779312343803,"faible",894.388415174524,9016.35628640123,8121.9678712267,9.91962148305375
"31425","Commune simple",454,16.8339606859091,"forte",35.4226653613289,211.269045028062,175.846379666733,16.7666140378605
"31426","Commune simple",844,14.0470612704252,"moyenne",37.9411223116465,357.089138136106,319.14801582446,10.625112404619
"31427","Commune simple",913,10.4508196721311,"moyenne",67,409,342,16.3814180929095
"31428","Commune simple",55,5.65704183853859,"moyenne",1.01851851851852,23.425925925926,22.4074074074074,4.34782608695652
"31429","Commune simple",2256,0.821548027236665,"faible",80.9896193771627,1179.71626297578,1098.72664359862,6.86517783291977
"31430","Commune simple",630,6.65592539699981,"moyenne",36.2377137685227,302.057772634389,265.820058865866,11.9969479522002
"31431","Commune simple",68,59.7273047733842,"forte",5.3125,21.25,15.9375,25
"31432","Commune simple",40,51.2196955145603,"forte",1.05263157894737,15.7894736842106,14.7368421052632,6.66666666666667
"31433","Commune simple",9718,0.888056214144973,"faible",656.335654562154,4499.57079282728,3843.23513826513,14.5866280314649
"31434","Commune simple",73,53.4116896239962,"forte",2.84415584415584,39.8181818181818,36.974025974026,7.14285714285714
"31435","Commune simple",867,3.38642631036474,"moyenne",44.3352272727273,435.470454545455,391.135227272727,10.1809954751131
"31436","Commune simple",406,10.2150537634409,"moyenne",38,206,168,18.4466019417476
"31437","Commune simple",89,7.49262536873151,"moyenne",0,49.5568181818184,49.5568181818184,0
"31439","Commune simple",718,2.60843970130483,"moyenne",20.3111739745404,378.803394625178,358.492220650638,5.36193029490617
"31440","Commune simple",71,10.9717509357088,"moyenne",4.79729729729729,39.3378378378378,34.5405405405405,12.1951219512195
"31441","Commune simple",150,6.06060606060606,"moyenne",8,75,67,10.6666666666667
"31442","Commune simple",493,1.86915887850467,"moyenne",26,275,249,9.45454545454546
"31443","Commune simple",302,18.5567010309278,"forte",10,129,119,7.75193798449612
"31444","Commune simple",147,6.63696022036787,"moyenne",4.08333333333332,75.5416666666664,71.4583333333331,5.40540540540541
"31445","Commune simple",5606,1.35553834237026,"faible",211,2565,2354,8.2261208576998
"31446","Commune simple",14145,1.15722489166664,"faible",913.328290349448,6644.99773889495,5731.6694485455,13.7445989635706
"31447","Commune simple",39,75.2244202514147,"forte",1.05405405405405,10.5405405405405,9.48648648648645,10
"31448","Commune simple",488,0.716442036949598,"faible",14.6295503211991,236.162740899357,221.533190578158,6.19469026548673
"31449","Commune simple",130,25.863034148162,"forte",4.92424242424242,57.1212121212121,52.1969696969697,8.62068965517241
"31450","Commune simple",552,4.17874738955009,"moyenne",18.0609051562706,281.895904216256,263.834999059985,6.40694131632905
"31451","Commune simple",9567,3.60231837760328,"moyenne",619.671193932102,3849.67939455212,3230.00820062002,16.0966961251119
"31452","Commune simple",52,27.8206698258879,"forte",2.83636363636364,20.8,17.9636363636364,13.6363636363636
"31453","Commune simple",128,1.92307692307692,"moyenne",11,70,59,15.7142857142857
"31454","Commune simple",3512,2.49565012719368,"moyenne",229.212276231202,1619.12526242023,1389.91298618903,14.1565499316946
"31455","Commune simple",2576,5.16354305818248,"moyenne",140.54060652394,1162.25968456759,1021.71907804365,12.0920142365798
"31456","Commune simple",47,27.9875610839627,"forte",5.64,22.56,16.92,25
"31457","Commune simple",798,9.49077833520544,"moyenne",65.6582278481012,371.726582278481,306.068354430379,17.6630434782609
"31458","Commune simple",4492,0.642850546849508,"faible",230.857448437275,2235.12774100343,2004.27029256616,10.3286019945166
"31459","Commune simple",703,2.19893172952842,"moyenne",25.5079825834543,354.050798258345,328.542815674891,7.20461095100865
"31460","Commune simple",4103,0.276406289697064,"faible",191.825204204843,1947.77535644818,1755.95015224333,9.84842546496954
"31461","Commune simple",293,16.8928141661806,"forte",20.1374570446736,135.927835051547,115.790378006873,14.8148148148148
